lib	name	group
PLAtgbyR289012-659	SK0553A	G1
PLAtgbyR289013-660	SK0554A	G1
PLAtgbyR289014-661	SK0555A	G1
PLAtgbyR289015-662	SK0556A	G1
PLAtgbyR289016-663	SK0557A	G1
PLAtgbyR289017-664	SK0558A	G1
PLAtgbyR289018-665	SK0559A	G1
PLAtgbyR289019-666	SK0560A	G1
PLAtgbyR289020-667	SK0561A	G1
PLAtgbyR289021-668	SK0562A	G1
PLAtgbyR289022-608	SK0563A	G1
PLAtgbyR289023-609	SK0564A	G1
PLAtgbyR289024-613	SK0565A	G1
PLAtgbyR289025-614	SK0566A	G1
PLAtgbyR289026-623	SK0567A	G1
PLAtgbyR289027-624	SK0568A	G1
PLAtgbyR289028-633	SK0569A	G1
PLAtgbyR289029-634	SK0570A	G1
PLAtgbyR289030-645	SK0571A	G1
PLAtgbyR289031-649	SK0572A	G1
PLAtgbyR289032-658	SK0573A	G1
PLAtgbyR289033-702	SK0574A	G1
PLAtgbyR289034-708	SK0575A	G1
PLAtgbyR289035-710	SK0576A	G1
PLAtgbyR289036-713	SK0577A	G1
PLAtgbyR289037-714	SK0578A	G1
PLAtgbyR289038-716	SK0579A	G1
PLAtgbyR289039-717	SK0580A	G1
PLAtgbyR289040-718	SK0581A	G1
PLAtgbyR289041-719	SK0582A	G1
PLAtgbyR289042-720	SK0583A	G1
PLAtgbyR289043-721	SK0584A	G1
PLAtgbyR289044-722	SK0585A	G1
PLAtgbyR289045-723	SK0586A	G1
PLAtgbyR289046-724	SK0587A	G1
PLAtgbyR289047-726	SK0588A	G1
PLAtgbyR289048-728	SK0589A	G1
PLAtgbyR289049-729	SK0590A	G1
PLAtgbyR289050-730	SK0591A	G1
PLAtgbyR289051-731	SK0592A	G1
PLAtgbyR289052-733	SK0593A	G1
PLAtgbyR289053-734	SK0594A	G1
PLAtgbyR289054-735	SK0595A	G1
PLAtgbyR289055-736	SK0596A	G1
PLAtgbyR289056-737	SK0597A	G1
PLAtgbyR289057-738	SK0598A	G1
PLAtgbyR289058-739	SK0599A	G1
PLAtgbyR289059-740	SK0600A	G1
PLAtgbyR289060-741	SK0601A	G1
PLAtgbyR289061-742	SK0602A	G1
PLAtgbyR289062-743	SK0603A	G1
PLAtgbyR289063-744	SK0604A	G1
PLAtgbyR289064-746	SK0605A	G1
PLAtgbyR289065-747	SK0606A	G1
PLAtgbyR289066-748	SK0607A	G1
PLAtgbyR289067-749	SK0608A	G1
PLAtgbyR289068-750	SK0609A	G1
PLAtgbyR289069-751	SK0610A	G1
PLAtgbyR289070-752	SK0611A	G1
PLAtgbyR289071-753	SK0612A	G1
PLAtgbyR289072-754	SK0613A	G1
PLAtgbyR289073-755	SK0614A	G1
PLAtgbyR289074-756	SK0615A	G1
PLAtgbyR289075-757	SK0616A	G1
PLAtgbyR289076-758	SK0617A	G1
PLAtgbyR289077-759	SK0618A	G1
PLAtgbyR289078-760	SK0619A	G1
PLAtgbyR289079-761	SK0620A	G1
PLAtgbyR289080-764	SK0621A	G1
PLAtgbyR289081-765	SK0622A	G1
PLAtgbyR289082-766	SK0623A	G1
PLAtgbyR289083-767	SK0624A	G1
PLAtgbyR289084-768	SK0625A	G1
PLAtgbyR289085-769	SK0626A	G1
PLAtgbyR289086-770	SK0627A	G1
PLAtgbyR289087-771	SK0628A	G1
PLAtgbyR289088-669	SK0629A	G1
PLAtgbyR289089-670	SK0630A	G1
PLAtgbyR289090-671	SK0631A	G1
PLAtgbyR289091-672	SK0632A	G1
PLAtgbyR289093-674	SK0633A	G1
PLAtgbyR289094-675	SK0634A	G1
PLAtgbyR289095-676	SK0635A	G1
PLAtgbyR289096-678	SK0636A	G1
