lib	name	group
PLAsutyR306488-620	RC335A	G1
PLAsutyR306489-621	RC336A	G1
PLAsutyR306490-622	RC337A	G1
PLAsutyR306491-623	RC338A	G1
PLAsutyR306492-624	RC339A	G1
PLAsutyR306493-625	RC340A	G1
PLAsutyR306494-626	RC341A	G1
PLAsutyR306495-627	RC342A	G1
PLAsutyR306496-628	RC343A	G1
PLAsutyR306497-629	RC344A	G1
PLAsutyR306498-630	RC345A	G1
PLAsutyR306499-631	RC346A	G1
PLAsutyR306500-632	RC347A	G1
PLAsutyR306501-633	RC348A	G1
PLAsutyR306503-635	RC349A	G1
PLAsutyR306504-636	RC350A	G1
PLAsutyR306505-637	RC351A	G1
PLAsutyR306506-639	RC352A	G1
PLAsutyR306507-640	RC353A	G1
PLAsutyR306508-642	RC354A	G1
PLAsutyR306509-643	RC355A	G1
PLAsutyR306510-645	RC356A	G1
PLAsutyR306511-646	RC357A	G1
PLAsutyR306512-648	RC358A	G1
PLAsutyR306513-649	RC359A	G1
PLAsutyR306514-650	RC360A	G1
PLAsutyR306515-651	RC361A	G1
PLAsutyR306516-652	RC362A	G1
PLAsutyR306517-665	RC363A	G1
PLAsutyR306518-686	RC364A	G1
PLAsutyR306519-693	RC365A	G1
PLAsutyR306520-704	RC366A	G1
PLAsutyR306521-709	RC367A	G1
PLAsutyR306522-732	RC368A	G1
PLAsutyR306523-762	RC369A	G1
PLAsutyR306524-687	RC370A	G1
PLAsutyR306525-688	RC371A	G1
PLAsutyR306526-690	RC372A	G1
PLAsutyR306527-691	RC373A	G1
PLAsutyR306528-692	RC374A	G1
PLAsutyR306529-695	RC375A	G1
PLAsutyR306530-701	RC376A	G1
PLAsutyR306531-703	RC377A	G1
PLAsutyR306532-706	RC378A	G1
PLAsutyR306533-707	RC379A	G1
PLAsutyR306534-708	RC380A	G1
PLAsutyR306535-710	RC381A	G1
PLAsutyR306536-713	RC382A	G1
PLAsutyR306537-714	RC383A	G1
PLAsutyR306538-716	RC384A	G1
PLAsutyR306539-717	RC385A	G1
PLAsutyR306540-719	RC386A	G1
PLAsutyR306541-720	RC387A	G1
PLAsutyR306542-723	RC388A	G1
PLAsutyR306543-724	RC389A	G1
PLAsutyR306544-728	RC390A	G1
PLAsutyR306545-730	RC391A	G1
PLAsutyR306546-731	RC392A	G1
PLAsutyR306547-733	RC393A	G1
PLAsutyR306548-734	RC394A	G1
PLAsutyR306549-735	RC395A	G1
PLAsutyR306550-736	RC396A	G1
PLAsutyR306551-737	RC397A	G1
PLAsutyR306552-739	RC398A	G1
PLAsutyR306553-401	RC399A	G1
PLAsutyR306554-402	RC400A	G1
PLAsutyR306555-403	RC401A	G1
PLAsutyR306556-404	RC402A	G1
PLAsutyR306557-405	RC403A	G1
